TERYT;county;city;street;building_num;full_name;lat;lng
20101;bolesławiecki;Bolesławiec;ul. Ceramiczna;5;76b4defc04541fe2fedaa913c77cbe07;0;0
20101;bolesławiecki;Bolesławiec;ul. Dolne Mlyny;60;6250952db1339ac1f5fb441a17ccd384;0;0
20101;bolesławiecki;Bolesławiec;ul. Juliusza Slowackiego;2;8991dd056934ff3f1658dc0c86131ef9;0;0
20101;bolesławiecki;Bolesławiec;ul. Jana Pawla II;38c;fd064caf1f56ae6813663a2f88878117;0;0
20101;bolesławiecki;Bolesławiec;ul. Piotra i Pawla;2;66952ed2a053c6b184a1a637566ace5e;0;0
20101;bolesławiecki;Bolesławiec;ul. Mikolaja Brody;12;ee8db14b91ac645fbd5f31498d717136;0;0
20101;bolesławiecki;Bolesławiec;ul. Bielska;5;1c80cba09f676cc0d4ad55de7debc21b;0;0
20101;bolesławiecki;Bolesławiec;ul. Zygmunta Augusta;16b;16d18e8983a9980a3f0323197d671531;0;0
20101;bolesławiecki;Bolesławiec;Aleja Wojska Polskiego;6;12e2e6994f67b9d2cc3c19a87ddf5c13;0;0
20101;bolesławiecki;Bolesławiec;Ratusz-Rynek;41;ec563c9563649cc2718cb9746c79e35a;0;0
20101;bolesławiecki;Bolesławiec;ul. Mikolaja Brody;17;a0efe96d1ca0e8387193c845357805b0;0;0
20101;bolesławiecki;Bolesławiec;ul. Gorne Mlyny;5;87a629550ef2d1889cddcff9bc650415;0;0
20102;bolesławiecki;Żeliszów;;102A;26e2fec5db80da9c11edb4c950955061;0;0
20102;bolesławiecki;Bożejowice;;1A;de9e3ad7a36322defb9f4ca23cfcc533;0;0
20102;bolesławiecki;Otok;;44C;ea0269db22e8a89a1f93e026d2a37e78;0;0
20102;bolesławiecki;Brzeźnik;;37;0c0001c915a5f15ebd824d30275d816d;0;0
20102;bolesławiecki;Dobra;;94;406c89a890abe73c959d2fe471a6bcf5;0;0
20102;bolesławiecki;Dąbrowa Bolesławiecka;;43;f26f603ca505e97ae697530d013a4991;0;0
20102;bolesławiecki;Trzebień;ul. Lipowa;5;012f506e476a259b3ddf95df6e11c029;0;0
20102;bolesławiecki;Kraśnik Dolny;;24C;cca59945842cc1a2a21bd681dc0b3b41;0;0
20102;bolesławiecki;Kruszyn;ul. Kasztanowa;1B;f6465360f802164e2e5e524821ef5a7b;0;0
20102;bolesławiecki;Łaziska;;30A;d94335f5d74304278f14c67b0a4f9282;0;0
20102;bolesławiecki;Ocice;;54B;ef958ec7ea88e02c8c464c3f1f3a9846;0;0
20103;bolesławiecki;Gromadka;ul. gen. Wl. Sikorskiego;19;1a43d9d9a31404869e8f037f8f2b62b5;0;0
20103;bolesławiecki;Wierzbowa;;19;f3c678501c1b4cf09f195fd75d3b0295;0;0
20103;bolesławiecki;Różyniec;;41B;bd3e0b4c37aec61bcaa7c36661947095;0;0
20103;bolesławiecki;Modła;;15A;a288e063ae85cba733e43e615bdfa9e6;0;0
20104;bolesławiecki;Czerna;;52;daa985bc8bdeee1a6198ee969d176ce5;0;0
20104;bolesławiecki;Gierałtów;;47;9f284ad6702e481755412ab11d3d2af6;0;0
20104;bolesławiecki;Godzieszów;;97;a6be4cf8bb6af48ad0ef220edcd7e85f;0;0
20104;bolesławiecki;Gościszów;;152;0ee418231d2368d58da362259326d808;0;0
20104;bolesławiecki;Milików;;146;b6e408bc351f8bfc4adf84c5a51851a2;0;0
